Hinglish,English
"Mujhe bhi, good memories",Me too. good memories
maine purane time ki kafi classics bohat time se nahi dekhi,I haven't seen a lot of the old classics for a long time. 
"I agree, good memories","I agree, good memories "
wo worth-watching hain,They are worth rewatching.
kya tumne Gaslight dekhi hai?,Have you seen Gaslight?
"Scary, good movie hai","Scary, good movie"
han definitely,Yes definitely 
sign out ka samay ho gaya. Apak day great ho!,Time to sign out. Have a great day! 
na gaslight nahi,No not gaslight 
Gaslight to dekho!,Watch Gaslight! 
you bhi,You too
me will!,I will!
:),:) 
"hello, tum kaise ho?","Hi, how are you?"
"Good, aur tum kaise ho",Good how about you
kya tumne kabhi Jaws dekhi he?,Have you ever seen jaws?
"No, mene nahi dekhi. kya voh good he?",No I haven't. Is it good?
kya amazing he.ye ek man ke bare me he jo ki apne beach side town ko crazy shark se save karne ki koshish kar raha he.,It is amazing. It's about a man trying to save his beach side town from a crazy shark
what about LA LA land? kya tumne vah dekha he?,What about LA LA land? Have you seen that?
kya tumhe lagta he ki iski happy ending he?,Would you say it has a happy ending to it?
mene bhi La La land nahi dekha he.tum konsa recommend karoge.,I haven't seen LA LA land either. Which one would you recommend?
"ha. ve shark ko kill karte he end me ,relax aur happy rahne ke liye",Yes. They kill the Shark and get to relax and be happy in the end
"kya aadmi he, spoilers haha","Aw man, spoilers haha"
eemaanadaaree se main jabade kee siphaarish karoonga. yah itanee behatareen klaasik philm hai,Honestly I would recommend jaws. It's such a great classic movie
kyon nahin la la laind? kya aapako yah pasand nahin hai?,Why not La La land? Do you not like it?
kya shailee la la bhoomi hai?,What genre is La La land? 
"la la bhoomi theek hai, lekin yah yahoodiyon kee kaarravaee kee tulana nahin karata hai. main ise 7.8 deta hoon jabaki jabade 9.1 hai",LA LA land is OK but it doesn't compare to the action of Jews. I give it a 7.8 whereas jaws is a 9.1
la la bhoomi ek sangeetamay romaantik komedee hai,LA LA land is a musical romantic Comedy
"hamm, tum mujhe jabade ke baare mein thoda aur samajhaane ke lie ho sakata hai kyonki main pahale se hee ant jaanata hoon. jab se aapane kaha tha ki la la laind ek romaantik komedee hai, kya joz mein koee romaans hai?","Hmm, you might have to convince me a little more about Jaws just because I already know the ending. Since you said LA LA Land is a romantic comedy, is there any romance in Jaws?"
aur kya la la laind ek vaastavik kahaanee par aadhaarit hai?,And is LA LA Land based on a real story?
"nahin, jabade mein thoda romaans hai",No. Jaws has little romance
hi,Hi
"hello,  is movie ko dekha?",hello. have you seen this movie?
"haan, mein The wolf of wall street ko dekha","Yes, I've watched The Wolf of Wall Street."
aapka?,How about you?
"mein nahi, aap rating ke move se agree karte?",I have not. do you agree with the rating of the move listed?
haan,Yes.
mein is movie ka rating se agree kartha,I agree with the rating of this movie.
mere liye tho is movie average hein.. kuch special nahi,For me the movie is average. Nothing special.
78% tho ache rating hein,78% is still a good rating.
kya aap soche ki Leo dicaprio ka jordan ka portrayal acha performance hein?,do you think that Leo Dicaprio portrayal of Jordan was a good performance?
"Ha,me socha hu.mere opinion me Dicaprio comedy movie nahi he","Yeah, I think so. But Dicaprio is not for comedy 
movie, in my opinion."
Movie bahut funny tha?,Was the movie very funny?
"Me pakka Nahi tha genre""black comedy"" referred tha","I wasn't sure what the genre "" black comedy"" referred to"
"Waha kuch scene the jo funny the,je se ki jab Dicaprio dusre logo ko scamming kar raha tha","There are some scene that it is funny, example is when DiCaprio is scamming other people."
"To wah past me hua tha,ninteen eighteen seven?","so it took place in the past, 1987?"
"Ha,wo ninteen eighteen seven me hua tha","Yes, it took place on 1987."
"Aap muje movie ke bare me jyada puch sakhte he,sarmaie mat",You can ask me more about the movie. Don't be shy.
"Kya aap generally ""black comedy"" type movie dekhte he?","do you generally watch "" black comedy"" type of movies?"
"Nahi, honestly ye ek black movie jesa he jo mene dekha","No, honestly this is the only kind of black movie that I've watched."
Mera matlab tha black comedy.,I mean black comedy.
KYA AAPKO NAHI LAGTHA CHARACTERS SAB DULL HEI,did you think the characters were dull?
ACTING SKILL KE SAATH THO VOH DULL NAHI HEIN.. ISME KAHI ACHE ACTORS BHI HEIN,"When it comes to acting skills, I think they are not dull. Most of them are good actors."
"PARAGRAPH KE ANUSAR, YEH JORDAN KE TARAH SOUNDS KARTHE JO REALLY SMART HEIN IS SCHEME KO PULLOFF KARNE KA","Based on the paragraph
, it sounds like Jordan was really smart to pull off the scheme that he did"
"3 HOURS MEIN 22 MILLION, CRAZY HEIN YAR",22 million in 3 hours is CRAZY
AAP HEIN?,are you there?
hi,hi
hello!,hello!
"movie jo chuni gayi, 'I","The movie that was picked, I'"
maine kabhi nahi dekhi,I've never seen. 
"Hello! Kya tumhe comedy, adventure, aur animation movie achhi lagti hain?","Hello! do you like comedy, adventure, and animation movies?"
"Haan, mujhe woh genres achhe lagte hain. Tumhe iss movie ki ratings ke baare mein kya lagta hai?",Yes I like all of those genres. What do you think about the rating of this movie?
"Mujhe lagta hai ratings acchi hain. Rotten tomatoes ne 89% diya hai, aur cinemascore ne A+ diya hai.",i think the ratings are good. Rotten tomatoes gave it an 89% and cinemascore gave it an A+
haan aapake jaisa. yah bahut lokapriy tha bachche sab kuchh jame hue theemd chaahate the. kahaanee kee rekha any raajakumaaree philmon se alag thee,Yes same here. It was very popular kids all wanted frozen themed everything. the story line was different from other Princess movies
"haan, mujhe laga ki yah bahut hee pyaare kiradaar vaalee ek behatareen philm thee","yes, i thought it was a great disney movie with very cute characters"
aap kalaakaaron ke baare mein kya sochate hain? kristan bel mere phevar mein se ek hai.,What do you think about the cast? Kristen bell is one of my faves.
"mujhe lagata hai ki kaast aaidiya menajel ke saath bahut achchhee hai, jisake paas ek khoobasoorat aavaaj hai",i think the cast is great with idina menzel who has a beautiful voice
"vah mahaan, bahut vishisht aavaaj thee. mujhe lagata hai ki oloph sabase majedaar tha.","She was great, very distinctive voice. I think olof was the funniest."
main eneemeshan se bahut prabhaavit tha aur pooree philm kitanee sundar thee,i was very impressed with the animation and how pretty the whole movie was
"kala bahut achchhee thee, vishesh roop se barph mahal drshy.","The art was very nice, especially the ice castle scene."
yah 3 dee mein tha. kya aap aamataur par 3 dee ya 2 dee mein philmen dekhate hain?,it was in 3d. do you watch movies in 3d or 2d usually?
jab main 3 dee mein philmon ko pakad sakata hoon to main unhen dekhane kee koshish karata hoon. yah ek alag anubhav hai lekin aasaanee se ek philm ko barbaad kar sakata hai. tum kya sochate ho,When i can catch the movies in 3d i try to watch them. It's a different experience but can easily ruin a movie. What do you think
main sahamat hoon. yah philm aur seeton par bhee nirbhar karata hai,i agree. it depends on the movie and the seats too
muje toh sad laga jab uska parents sea mein mar gaye the.,i thought it was sad when the parents died at sea
"muje voh rock family bahut pasand hein, voh cute hein",I like the rock family they were cute.
kya aap soch rahe ki yeh B roadway mein end hoga?,"Do you think it will end up on B
roadway?"
haan muje lag raha hein ki yeh jarur hoga. aur us songs toh bahut catchy hein,i think it will. the songs were so catchy
"muje voh hero ko pasand hein , voh toh Elsas ka choti bahen hein typical prince ke jaise bilkul nahi hein",I like that the hero in the movie is Elsas younger sister and not the typical prince.
"muje bhi. muje bhi pasand hein , kyon ki voh toh family aur sisters ke baare mein hein.",me too. I like that it was about family and sisters too. 
"haan yar, muje bhi do behen hein, mein usse relate kar sakthe hoon.",Same here and being that I have two i could relate to how they felt about each other. 
mein maantha hoon. muje bhi Hans pasand nahi hein,i argree. i did not like Hans
is me aapka favorite character kon hein?,who was your favorite character?
"voh toh horrible hein, aur muje usko pasand nahi hein  kyon ki voh Ana ko villain banane mein vyast ho raha tha. lekin mein Kristoff ko bhi appreciate karunga voh kitna helpful tha.","He was horribe, i did not like how he tried to make Ana the villain. But i did appreciate Kristoff and how helpful he was. "
mera pasandeeda charitr olaph tha. aap kaise hain?,My favorite character was olof. How about you?
mujhe ann pasand tha. vah anamol thee,i liked anna. she was precious
kya aapako ant pasand aaya,did you like the ending
us drshy ke baare mein aapake kya vichaar the jab hans ne us kamare mein elsa ko band kar diya tha.,"What were your thoughts about the scene when Hans locked up elsa 
in that room."
yah bhayaanak tha. main hairaan tha kyonki vah shuroo mein itana hans pasand karatee thee,it was scary. i was surprised since she liked hans so much at the start
"haan, mujhe ant pasand aaya, mujhe yah pasand aaya ki shahar ne dekha ki elsa utana bura nahin tha jitana hans ne use banaaya tha, aur yah ki kristoph aur ana ek saath samaapt ho gae the","Yes i loved the ending, i liked that the town saw that Elsa was not as bad as Hans made her to be, and that Kristoff and ana ended up together"
main bhee.,me too. 
vah ek aisa charitr tha jisamen dhokhebaaj mahaan the,He was a character the deception was great
Heyy,Hey!
Namaste!,Hello!
Is movie ko mixed reviews mile,This movie received mixed reviews
iske baare me tumhari kya soch hai?,What do you think about it?
muje lagta hai mai hi ek aisi ladki hun jisse ye notebook ni pasand,I think I might be the only girl who doesn't like the notebook
mujhe movie ki timeline pasand aayi lekin screen time me bahut se bematlab moments the,I liked the timeline of the film but there were unnessasery amount of screen time spent on pointless moments.
haha okay. mujhe rachel or ryan bahut pasand hai to mujhe lgta hai ye movie acchi hai. maine abhi dekhi nhi hai but trailer cheesy sa laga.,Haha okay. I really like Ryan and Rachel so I'm assuming this movie is good. I haven't seen it yet though because the trailer looked cheesy.
dono actors movie me excellent the,Both actors are excellent in the film 
maine bhi ye book ni padhi,I haven't read the book either.
nice,Nice
mujhe lagta hai mera opinion biased hai nicholas sparks ki books ki movies ko leke,I think I just have a biased opinion with Nicholas sparks books Made into films
tum uski books read karte ho?,Do you read his books?
muje lagtha ki voh bada cute hein jab usne us scene1 mein ghar lena chatha,I think it's cute that he tries to buy her a house in scene 1
mein jab 15 ki thi tho mein usse thoda read kiya,When i was 15 I read a few 
Allie ka mummy thoda rude thi,Allie's mom seems rude
scene 1 ke baare mein aapka kya upai hein,What do you think of scene 1
upper class family logon tho kabhi bhi rude hi hote,Upper class family's in films always appear to be rude
haan,Yeah
end mein muje kaafi logon ko dekhna mila,The ending I think really does it for alot of people 
tho yeh world wars ke baare mein hein,Okay so this is during the WOrld Wars
muje vintage look pasand hein us first scene mein,I like the vintage look in the first scenes
yeh tho sad hote jaa raha hein is point mein,It's getting sad at this point
Mujhe lagata hai ki 50/50 ya to aap ise love karate hain ya hate karate hain,I think is 50/50 either you love it or hate it
Aisa lagata hai ki is darshy mein nooh kee tarah Gatsby hai kyonki use vishvaas hai ki ek ghar hai jo allie laega,"It seems like Noah's
 kind of like Gatsby in this scene since he's convinced a house is what will bring Allie"
Vaapas usake paas,back to him
Saamagree cheezen,Material things 
Ainee bahut interferes karatee hai,Anne interferes too much
Mujhe khushee hai ki Allie Noah ke saath samaapt hota hai,I'm glad Allie ends up with Noah
Mujhe Lon kelie bura lag raha hai,I feel bad for Lon
Tume  kya samajhate about last scene ?,What do you think of the last scene?
Yah movie titanic mein pyaar kee tarah hai,"Eh, this film is like the love in titanic "
Haha,Hahah
Movie mei bahut acha action hai but movie bahut bore hai.,There are great moments but over all the film is a bore
Mene dekha,I see
Ye aant bhut acha hai,The ending is one of those great moments 
Yah samajane mei acha hai,That's good to know
Ye dekhane mei lagata hai ki hamane kiya,It looks like we're done
Aap se baat karke acha laga,Nice talking to you
hello there!,hello there!
Hey!,Hey!
Aap kaise kar rahe ho?,how are you doing?
I believe ki mujhe aapko batana chahiye ki aapko kyun Social Network read karna chahiye.,I believe I am supposed to convey to you why you should read The Social Network
"Me accha hun, thanks","I'm well, thanks!"
Social Network ek movie hai?,Social Network the movie?
Sahi hai,Correct!
Aapko kya task sopa gaya tha?,What were you tasked with?
Aapke sath movie ki charcha karne ka,To discuss a movie with you
"Janakaaree ikattha karane ka try karen aur tay kare, agar main ise end mein dekhana chahata hu",try to gather info and decide if I want to watch it at the end
Kaun si Movie?,Which movie?
"Accha, maine pahali baar 5 saal pahale The Social Movie dekhi thi aur mujhe bahut maza aaya tha.",Well I watched The Social Movie about 5 years ago for the first time and highly enjoyed it. 
Social Network ki koi bhi movie mein aapako mujse baat karane ka task saupa gaya tha,which ever movie you were tasked with to talk to me about - in this case the Social Network
"vises roop se, Zuckerberg ka Eisenberg ka chitran atyadhik sammohak tha",In particular Eisenberg's portrayal of Zuckerberg was highly compelling
aur wo funny bhi tha,and it's funny as well
kya Eisenberg pramukh actor hai?,Eisenberg is the lead actor?
aur agar tumne Ivy League university attend nahi kiya to ye tumhe sneak peek deti hai ki inke andar life kaisi hogi.,"And if you did not attend an Ivy League university, it gives you a sneak peak of what life inside one may be like"
han wo lead actor hai,yes he is the lead actor
kya tum jante ho aur kis movies mein wo tha?,do you know which other movies he was in?
actually main sure nahi hu,I'm not sure actually
ye iski only one hai jo mujhe pata hai,This is the only one of his that I know at all
I hope wo as Zuckerberg typecast nahi ho raha,I hope he's not being typecast as Zuckerberg
kyunki wo bohat talented actor hai,Because he is a majorly talented actor
aur konse actors they isme,what other actors were there?
isme Justin Timberlake aur Armie Hammer bhi they,Justin Timberlake and Armie Hammer were also in it!
Timberlake cool tha,Timberlake was cool
usne napster ke founder ka role play kiya,He played the founder of Napster
aur tumhara favorite character kon tha?,and which was your favorite character?
Probably Eisenberg Zuckerberg ke rup me,Probably Eisenberg as Zuckerberg
wasn,wasn
kyun nahi sabse likable character (jo ki nishchit hi Saverin hai) par usne role ko incredbily well play kiya,wasn't the most likable character (that was probably Saverin) but he played the role incredbily well
bahut hi nuanced portrait,a nuanced portrait
to movie puri tarah se biographical hai,so the film is entirely biographical?
yes,Yes
although mujhe pata hai ki zukerberg ne plot ki accuracy ke baare me complain ki hai,although I know that Zuckerberg has complained about the accuracy of the plot
isme kafi tension hai,there's quite a bit of tension in it
"kya usme ""evil twins"" feature hote hain? (Main unka naam bhul gaya)","does it feature the ""evil twins""? (I forgot their names)"
Han!,Yes!
Winklevoss twins!,The Winklevoss twins!
although wo film mein evil nahi dikhte,although they don't sound/appear that evil in the film
wo actually mein cheated lagey,they look cheated actually 
tumhara favorite scene kya hai?,what's your favorite scene?
shayad Zuckerberg ki deposition,Probably the deposition of Zuckerberg
jab wo investigate ho raha tha fraudulently claim karne ke liye ki Facebook ka idea usne socha,"when he's being investigated for fraudulently
 claiming he came up with the idea for Facebook"
soundtrack kaisa hai? worth noting kuch hai?,how about the soundtrack? anything worth noting?
Jaws kya good movie thi!,Jaws was such a good movie!
me agree karta hu. yah well made thi.,I agree. It was well made.
scares well timed the,The scares were well timed.
mene soundtrack like kiya,I liked the soundtrack.
tumhara favorite part kon sa tha?,What was your favorite part?
mujhe lagta he yah Amity Island jaisa location use kar raha he.mujhe aisa lagata he jaise plot kahi bhi ho sakta he.,I think it was utilizing a location like Amity Island. It made me feel as if the plot could happen anywhere.
kya soundtrack tumhara favorite part tha?,Was the soundtrack your favorite part?
"isme sense he. ha, especially voh part jiske liye ye itna famous he.jab bhi ve audience ki fear aur anxiety badana chahte the unhone ye sound play kiya.","That makes sense. Yes, especially the part that it is so famous for. The sound they played whenever they wanted to increase the audience's fear and anxiety."
ek dusra affirmation ki Spielberg knew ki voh post-production me kya kar raha tha.,Just another affirmation that Spielberg knew what he was doing even in post-production.
kya aap aamataur par is tarah kee philm pasand karate hain?,Do you usually like this type of movie?
"isamen koee shak nahin, vah philmen banaane mein bahut achchhe hain. nahin, yah meree pasandeeda kism nahin hai. main bahut jyaada dara hua nahin hoon. mujhe vrttachitr pasand hain. aap kaise hain?","No doubt. He is very good at making movies. No, it is not my favorite kind. I am not much into jump scares. I like documentaries. How about you?"
"mujhe hailoveen ke aasapaas is tarah kee philm pasand hai; anyatha, mujhe ekshan philmon ka aanand milata hai","I like this type of movie around Halloween; otherwise, I enjoy action films."
yah samajh mein aata hai.hailoveen khud ko daraane ka ek achchha samay hai.,That is understandable. Halloween is a good time to scare yourself. 
shaark ke hamale par meyar kee pratikriya ke baare mein aapane kya socha?,What did you think of the mayor's reaction to the shark attack?
"mujhe lagata hai ki yah laalachee tha.main maanata hoon ki janata ko ghabaraana nahin chaahie, lekin laalach se logon ko khatare mein daalana theek nahin hai.","I think it was greedy. I agree it is best not to panic the public, but putting people in danger out of greed is not okay."
"theek, mainne socha tha ki vaastavik duniya ke nihitaarth ko naitik aur naitik roop se donon ke baare mein sochana saaph tha.","Exactly, I thought it was neat to think of real world implications both fiscally and morally."
ise janata ke saamane kaise pesh kiya jae.,Of how to present this to the public.
jisake parinaamasvaroop ant mein ek shaark-shikaar unmaad paida hua,Which in the end resulted in a shark-hunting frenzy
"un cheejon ke baare mein bhee sochana pasand karate hain.mujhe vah hissa pasand nahin tha.mujhe lagata hai ki shaark ko samudr tak le jaaya jaata to mujhe achchha lagata, lekin jyaadaatar log shaayad us tarah kee philm ka aanand nahin lenge, paryaapt naatak nahin","I like to think of those things too. I did not like that part. I think I would have liked it better if the shark was led out to sea, but most people would probably not enjoy a movie like that, not enough drama."
aap us par sahee hain.,You are right on that.
brodee ke kadam jaise charitron ko dekhana achchha tha - haalaanki isane unake bete ko kaarravaee ke lie prerit karane ke lie sadame mein le liya.,It was nice to see characters such as Brody step up - though it took his son to go into shock in order to spur him to action.
mujhe lagata hai ki speelabarg ne chhote shahar kee raajaneeti ko chitrit karane ke lie naakhoon par sir maara.,I think Spielberg hit the nail on the head as far as portraying small town politics.
"haan. yah yathaarthavaadee tha, haalaanki mujhe lagata hai ki yah sabhee prakaar kee raajaneeti par laagoo hota hai.","Yes. It was realistic, though I think much of it applies to politics of all types. "
paisa hamesha sarvochch praathamikata lagata hai.,Money seems to always be highest priority.
durbhaagyavash yah sach hai.,"Unfortunately, true."
aur dukh kee baat yah hai ki hamen traasadee ke hamalon tak kabhee-kabhee kaarravaee ke lie jastee nahin milata hai.,And sadly we do not get galvanized to action sometimes until tragedy strikes.
kya aapane any speelabarg philmen dekhee hain?,Have you seen other Spielberg movies?
"haan, usake paas apane chamakadaar kshan aur raaste mein kuchh yugal hain. mujhe lagata hai ki unakee adhik philmen baad kee shrenee ke bajaay poorv mein aatee hain.","Yes, he has his shining moments and some duds along the way. I feel that more of his movies fall into the former rather than latter category."
aap?,You?
hey muje toh unka  movies bahut pasand hein lakin unka movies muje yaad nahi aatha hein. mein yaad karne me thoda kamjor hoon,"I know I have and that his movies are usually really well made, but I cannot remember which movies are his. I am very bad at stuff like that."
"muje toh voh scuba part bilkul pasand nahi hein, magar voh breathing toh mein enjoy kar raha tha","I did not like the scuba part. I enjoy enjoy breathing
."
mein tho aise hi hoon, I usually am as well.
maaf kar na us typo ko,"Sorry, for the typo."
"jaane de yar, mein toh us breathing ko completely agree karunga, aur mein kabhi bhi us cage mein pani mein nahi jaavunga",No worries. Completely agree on breathing/ I would not be getting in the water even with a cage.
"acha, aapse baath karne mein bahut dhanyavad. muje lagtha hein ki hamara time ab khatma ho raha hein, aapka din acha rahane ka mera subh kamna","Well, thanks for sharing this conversation with me. It seems that our time has come to an end. I hope you have a wonderful morning, afternoon, night wherever you are."
aapko bhi,You as well.
Namaste! aaj ham batman vs superman kee charcha karenge!,Hi! Today we'll be discussing Batman vs Superman!
Mahaan! kya mujhe ise dekhane se pahale kisee any dc comik movies dekhane kee jaroorat hai?,Great! Do I need to watch any other DC Comic movies prior to watching this one?
mai sach nhi keh skta halaki ye man of steel se better hai lekin dark knight jitni achi nhi hai,"I can't honestly say, however, as a critic noted ""it's better than Man of Steel but not as good as The Dark Knight"". "
lead actors kon hai>,Who are the lead actors? 
ye 2013 ki man of steel ko follow krti hai so safely dekhna,It follows 2013's Man of Steel so you would probably need to see it just to be safe...
"Batman, Superman aur wonder woman bhi hai isme","Batman, Superman and even wonder woman makes an appearance!"
"Haha kya aap jante ho ki is film mai konse actor Batman, Superman, aur Wonder Womanrole ker rhe hai?","Haha! Do you know which actors play Batman, Superman, and Wonder Woman in this movie? "
"Ben Affleck Batmanka Bruce Wayne, Henry Cavill Clark Kent Superman ka role paly ker rhe hai. Gal Gadot film mai Diane Lane Martha Kent ka aur Amy Adams Louis Lane ka role play ker rhe hai. kya tum in actors ke fan ho","Ben Affleck plays Batman/Bruce Wayne, Henry Cavill plays Clark Kent/Superman. Gal Gadot stars in the film as well as Diane Lane as Martha Kent and Amy Adams as Louis Lane. Are you a fan of any of those actors?"
sabhi lekin Ben Affleck ki last super hero movie main usse Daredevils mai dekh tha wo mote tha hoskta hai isme kuch acha kam hoga,All but Ben Affleck. Lest super hero movie I saw him in was Daredevil and that was rough. Let's hope he's better in this. 
halaki me batman mai Michael Keaton ka fan hu muje lgta hai ki koi or batman ka paly nhi ker payge jo michel keaton ne kiya,"Though, I am a Michael Keaton fan when it comes to Batman. I suspect anyone playing Batman who is not Keaton will be weird to me. "
bhote se critics ko ye pasand nhi tha par cinemascore mai rating B thi muje lgta hai ye sahi thi,"Most of the critics wasn't too fond of it, but CinemaScore have it a rating of B, which I feel is about right for this film!"
kya tumne dekhi hai,Have you seen it?
"Maine is solid B grade karta, jaise k CinemaScore ne kiya. Kya tum director Zack Snyder k fan ho?","I have and would grade it a solid B, just as CinemaScore did. Are you a fan of director Zack Snyder?"
"Main sure nahi hu, usne aur kaunsi movies direct ki hai?",I'm not sure. What other movies has he directed? 
Usne Batman V Superman direct ki hai. Wo movie General Zod aur Superman k battle k 18 month baad hoti hai. Superman ek controversial figure ban jata hai aur Clark Kent ko Batman k Justice k tareeke k baare me pata chalta hai aur wo use Daily Planet k articles me expose karna chahta hai,He directed Batman vs Superman. The film takes place 18 months after the battle between General Zod and Superman. Superman becomes a controversial figure while Clark Kent learns of Batman's form of justice and seeks to expose him via Daily Planet articles. 
Kya usne Batman aur Superman movie k alawa kuch direct kiya hai?,Has he directed anything else besides the Batman or Superman movies?
"Honestly, main bol nahi sakta hai. Mujhe pata hai k usne ye film direct ki hai aur David S. Goyer aur Chris Terrio ne write ki hai",I can't honestly say. I know he directed this film while David S. Goyer and Chris Terrio cowrote it. 
Kya Batman aur Superman is film me enemies hai?,Batman and Superman are enemies in this film? 
"Wo hai. Lex Luthor jo Superman ko harane ko lekar obsessed hai , basically dono ko ek dusre ko fight karne me manipulate kar deta hai.","They are - Lex Luthor, who is obsessed with defeating Superman, basically manipulates them into fighting each other."
Wonder Woman kis side pe rahti hai.,Whose side is Wonder Woman on?
