,premise,hypothesis,labels,hindi_premise,hindi_hypothesis,english_premise,english_hypothesis
299,sara mei n t oh rah oon gi na hin l eki n tumhare liye ek aur nominee hota toh accha hota deepak haan achha hota sara soch lo phi r ready hoon main abhi bhi deepak sh ay a d p ro bl e m m ei n h ai n v o h pa re s ha a n th e in us s d in su b ah subah sara kaun deepak voh b 48 1 st floor b ataya tha na sara voh teenon bachiyan,deepak keh raha hai ki achha hota agar sara nahin rahati,0,"सारा   मेई एन टी ओह रहूं गी न हिन, ल एक न तुम्हारे लिए एक और नॉमिनी होता तो अच्छा होता ..   दीपक  हां अच्छा होता ..   सारा  सोच लो फी र ... तैयार हूं मैं अभी भी !   दीपक   श ए ए डी पी रो ब्ल ई एम एम ई एन एच ऐ एन वी ओ एच! पा रे एस हा ए एन थ ई इन यू एस डी इन सु ब आह सूबा!   सारा   कौन?   दीपक   वोह बी 48। पहला तल । ब आया था ना ...   सारा   वो तीन बच्चों ...  ",दीपक के रहा है की अच्छा होता अगर सारा नहीं रहता।,sara mei nt oh rahoon gi na hin it would have been better if there was another nominee for you deepak yes it would have been better sara think lo hi r i am still ready deepak sh a a d p ro bl e m m e n h a n v o h pa re s ha a n th e in us d in suba ah suba sara who deepak woh b 48 1st floor did you come sara those three kids,deepak has said that it would have been better if sara did not live
518,gulzar kya kah rahe ho beta shahid unko kuuch maps mili ek dead terrorist ke jeb mein shahid saare jail dekhe un logon ne aur ek aadmi mil gaya jiske paas uske arrest ke samay map mila tha phir wohi aadmi terrorist ke pocket mein mile map ko bhi banayega na woh jail ke andar tha us samay us se kya fark padta hai gulzar tumne file dekhi shahid haan azmi toh tum yeh case ladoge shahid chacha sab thik hai shahid sneezes again and they both smile,shahid ne file dekhi,0,"गुलजार  क्या कह रहे हैं बेटा...   शाहिद  ​​उनको कुछ मैप्स मिली एक डेड टेररिस्ट के जेब में।   शाहिद   सारे जेल देखे उन लोगों ने और एक आदमी मिल गया जिसके पास उसके गिरफ्तारी के समय नक्शा मिला था। फिर वही आदमी आतंकवादी की जेब में मिले नक्शा को भी बनेगा ना। वो जेल के अंदर था हम समय हमसे क्या फ़र्क पड़ता है?   गुलजार   तुमने देखी फाइल?   शाहिद   हां।   आजमी   तो तुम ये केस लड़ोगे ?   शाहिद   चाचा, सब ठीक है। शाहिद फिर से छींकता है और वे दोनों मुस्कुराते हैं।  ",शाहिद ने फाइल देखी।,gulzar what are you saying son shahid he found some maps in the pocket of a dead terrorist shahid they saw all the jails and found another man who had got the map at the time of his arrest then the same person will also make the map found in the pocket of the terrorist he was inside the jail what does time matter to us gulzar did you see the file shahid yes azmi so you will fight this case shahid uncle all is well shahid sneezes again and they both smile,shahid saw the file
1518,rani haye ram vijay hi queen rani dus picturon mein dus hero try kar chukey hain vijay kya tumsey baat karna rani yeh library wala paintra vijay har baar kaam karta hai vijay kaam kiya vijay aur uskey baad vijay um soup uskey baad soup vijay manchow maanjao rani sweet corn,dus heroes rani se baat karne ka try kar chuke hain,1,रानी   हाय राम   विजय   हाय रानी   रानी   दस पिक्चरों में दस हीरो कोशिश कर रहे हैं...   विजय   क्या ? तुमसे बात करना?   रानी   ये लाइब्रेरी वाला पेंट्रा   विजय   हर बार काम करता है   विजय   काम किया ?   विजय   और उसके बाद ?   विजय   उम ... सूप ? uskey बाद सूप ?   विजय   मंचो। मांजाओ   रानी   स्वीट कॉर्न  ,दस नायकों रानी से बात करने का प्रयास कर चुके हैं,rani hi ram vijay hi rani rani ten heroes in ten pictures are trying vijay what to talk to you rani this library pentra vijay works every time vijay worked vijay and after that vijay um soup soup after uskey vijay mancho manjao queen sweet corn,ten heroes have tried to talk to the queen
1748,mrs kapoor hello babyyyy site visit kaisi thi rahul theek thi rahul mom main aapko kuch bataana chahta hoon mrs kapoor ofcourse sure mrs kapoor pehle tum mujhe batao ye ya ye ye na this is so average i like to be unique don t you mr kapoor oh look who s here mr surprise himself mr kapoor tum wapas kab jaa rahe ho rahul 5th ko mr kapoor good bulani aur shah agle hafte tak shaayad deal lock kar dein main 4th ko unhein dinner pe bulane ki soch raha hun mrs kapoor unki biwiya bhi aayengi mr kapoor tum aane waali ho na mrs kapoor tum kya keh rahe the beta mr kapoor surprise us rahul nahi nothing important,mrs kapoor likes to be unique,0,"श्रीमती कपूर   हेलो बेबीय्या ! साइट विज़िट कैसी थी ?   राहुल   ठीक थी।   राहुल   माँ मैं आपको कुछ बताना चाहता हूँ।   श्रीमती कपूर   बिल्कुल .. ज़रूर !   श्रीमती। कपूर   पहले तुम मुझे बताओ. तुम तुम हो? ये ना? यह इतना औसत है .. मुझे अद्वितीय होना पसंद है। तुम नहीं?   मिस्टर कपूर   ओह देखो यहाँ कौन है... मि. खुद को हैरान करो।   मिस्टर कपूर   तुम वापस कब जा रहे हो?   राहुल   5वां को.   मिस्टर कपूर   अच्छा, बुलानी और शाह अगले हफ्ते तक शायद डील लॉक कर दें। मैं चौथा को अनहिन डिनर पे बुलाने की सोच रहा हूं।   श्रीमती कपूर   उनकी बिविया भी आएगी ?   मिस्टर कपूर   तुम आने वाली हो ना?   श्रीमती। कपूर   तुम क्या कह रहे थे बेटा?   श्री कपूर   हमें चौंका दो !   राहुल   नहीं.. कुछ खास नहीं।  ",श्रीमती। कपूर को अनोखा होना पसंद है,mrs kapoor hello babyyya how was the site visit rahul it was fine rahul mother i want to tell you something mrs kapoor absolutely sure mrs kapoor first you tell me you are you isn t this it s so average i like to be unique not you mr kapoor oh look who is here mr surprise yourself mr kapoor when are you going back rahul on the 5th mr kapoor well boolani and shah may lock the deal till next week i am planning to invite chauth to an unofficial dinner mrs kapoor his wife will also come mr kapoor you are going to come aren t you mrs kapoor what were you saying son mr kapoor shock us rahul no nothing special,mrs kapoor likes to be unique
1848,vikram teri train kitne baje hai rohan do baje teri vikram papa flight se aa rahe hai main to bhaagne vaala hoon rohan tu mere saath chalega na benoy main bhi bombay jaa raha hoon papa vahan shift ho rahe hain muninder bach gaya bangali bombay ke government school singur se achche hain vahaan mamta banerjee nahin hai kulkarni hai rohan main jaa raha hoon time ho gaya rohan picture poori dekh lete kam se kam muninder bombay aa tujhe paris hilton ki picture dikhaoonga rohan mujhe mail karna muninder jamshedpur mein internet hai benoy jamshedpur gaon nahin hai rohan sabne likh diya muninder tere liye poem likhi hai ek padh lena rohan i ll miss you guys,benoy bhi bombay ja raha hai,0,विक्रम   तेरी ट्रेन कितने बजे है ?   रोहन   दो बजे... तेरी ?   विक्रम   पापा फ्लाइट से आ रहे हैं... मैं तो भागने वाला हूं...   रोहन   तू मेरे साथ चलेगा ना ?   benoy  मैं भी बॉम्बे जा रहा हूं ... पापा वाहन शिफ्ट हो रहे हैं ...   मुनिन्दर  बच गया बंगाली ... बॉम्बे के सरकारी स्कूल सिंगुर से अच्छे हैं ... वहां ममता बनर्जी नहीं है .. कुलकर्णी है ...   रोहन  मैं जा रहा हूं ... टाइम हो गया।   रोहन  पिक्चर पूरी देख ले काम से कम ...   मुनिन्दर  बॉम्बे आ .. तुझे पेरिस हिल्टन की तस्वीर दिखूंगी ...   रोहन  मुझे मेल करना ...   मुनिन्दर  जमशेदपुर में इंटरनेट है?   बेनॉय   जमशेदपुर गांव नहीं है...   रोहन   सबने लिखा दिया ?   मुनिन्दर   तेरे लिए कविता लिखी है एक ... पढ़ लेना ...   रोहन   मैं आप लोगों को याद करूंगा ...  ,बेनोय भी बॉम्बे जा रहा है,vikram what time is your train rohan two o clock yours vikram papa is coming by flight i am about to run away rohan will you go with me benoy i am also going to bombay papa is shifting vehicles muninder bach gaya bengali government schools in bombay are better than singur there is no mamta banerjee kulkarni is rohan i am leaving it is time rohan picture puri dekh le kaam se kam muninder bombay aa you will see paris hilton s picture rohan mail me muninder jamshedpur has internet benoy jamshedpur is not a village rohan everyone wrote muninder i have written a poem for you read it rohan i will miss you guys,benoy is also going to bombay
1878,raghavan tum kya karti kya ho simmy main raghavan han simmy shopping raghavan arre shopping ke alawa simmy party raghavan uske liye paise kahan se aate hain simmy koi na koi de deta hai,simmy party aur shopping karti hai,0,राघवन  तुम क्या करती क्या हो   सिमी  मैं ..   राघवन  हान   सिम्मी  शॉपिंग   राघवन  अरे शॉपिंग के अलावा   सिमी  पार्टी   राघवन  उसके लिए पैसे कहां से आते हैं   सिम्मी   कोई ना कोई दे देता है  ,सिम्मी पार्टी और शॉपिंग कार्ति है,raghavan what do you do simi me raghavan han simmi shopping raghavan hey apart from shopping simi party raghavan where does the money come from for her simmi somebody gives,simmi party and shopping karti hai
2130,verma ji aapne kaha tha aaj mil jaayega printing waala khaali baitha hai pathak bas 3 din aur devi thoda beemaar thi pathak thoda advance milega toh achha rahega verma ji ek toh latkaaye huye hain chamgaadad jaisa humein takes out his wallet and 4 notes of 500 rupees each par pahli baar ho raha hai isliye ghar par sab theek na,verma ji refused to give advance,1,वर्मा जी  आपने कहा था आज मिल जाएगा। प्रिंटिंग वाला खाली बैठा है ...   पाठक   बस 3 दिन और ... देवी थोड़ा बीमार थी।   पाठक   थोड़ा एडवांस मिलेगा तो अच्छा रहेगा।   वर्मा जी   एक तो लटके हुए हैं चमगादद-जैसा हमें...  ,वर्मा जी ने एडवांस देने से मना कर दिया।,verma ji you said you will get it today printer is sitting empty reader just 3 more days devi was a little ill reader it will be good if you get a little advance verma ji one is hanging bats like us,verma ji refused to give the advance
1109,lady tumhein bar license nahin milega shahid kyon lady kyon kyonki tum terrorist thay tum 5 saal jail mein thay shahid please ek baar rule book mein criteria check kar lijiye lady tum sikhaoge mujhe mera kaam shahid sorry mujhe pata hai aap yahaan 20 saal se hain aur jisse bhi suna hai aapke baare mein achcha hi suna hai but madam i am eligible maine kabhi bankruptcy file nahin ki hai na koi naityik bhrastachar sirf in grounds par mera application reject ho sakta hai lady ok let me check lady main yahan 20 saal se nahin 12 saal se hoon,shahid ko bar licence nahi milega,0,"लेडी   तुम्हें बार लाइसेंस नहीं मिलेगा ?   शाहिद   क्योन ?   लेडी   क्योन ? क्योंकी तुम आतंकवादी था। तुम 5 साल जेल में था।   शाहिद   प्लीज एक बार रूल बुक में क्राइटेरिया चेक कर लिजिए।   लेडी   तुम सिखोगे मुझे मेरा काम?   शाहिद   सॉरी। मुझे पता है आप यहां 20 साल से हैं। और जिससे भी सुना है आपके बारे में अच्छा ही सुना है। लेकिन महोदया, मैं पात्र हूं। मैने कभी दिवाला फ़ाइल नहीं की है ना कोई नैतिक भ्रष्टाचार। बस मैदान पर मेरा आवेदन खारिज हो सकता है।   लेडी   ठीक है.. मुझे देखने दो।   महिला  मैं यहां 20 साल से नहीं 12 साल से हूं।  ",शाहिद को बार लाइसेंस नहीं मिलेगा,lady you won t get the bar license shahid why lady why because you were a terrorist you were in prison for 5 years shahid please check the criteria in the rule book once lady will you teach me my work shahid sorry i know you ve been here for 20 years and everyone who has heard has heard about you very well but ma am i am eligible i have never filed bankruptcy or any moral corruption just on the ground my application may get rejected lady alright let me see woman i have been here not for 20 years but for 12 years,shahid will not get bar license
1515,apu to tu school se vaapas aa gaya hai aur tere baap ke nathune phoonkaar maar rahe honge aur va bolta hoga ki no more padhai waste of time join family business rohan tumko kaise pata apu har chhote shaher ke baap aise hi hote hain family business amber very good very good apu dream business amber very bad very bad apu iss motu ko dekh isko bhi family business karna hai isiliye weight badha raha hai taaki bra fit ho sake amber tu dhande pe mat ja apu bolo dhanda bhagwan ki shiv jai,apu ne amber ko motu kaha,0,एपीयू   टू स्कूल से वापस आ गया है और तेरे बाप के नथुने फोनकर मार रहे हैं ... और वो बोलता होगा की अब और नहीं पढाई ... समय की बर्बादी ... पारिवारिक व्यवसाय में शामिल हों ...   रोहन   तुमको कैसे पता ?   एपीयू   हर छोटे शहर के बाप ऐसे ही होते हैं ... पारिवारिक व्यवसाय ...   एम्बर   बहुत अच्छा बहुत अच्छा ...   एपीयू  ड्रीम बिजनेस ...   एम्बर   बहुत बुरा बहुत बुरा। ..   एपीयू  इस मोटू को देख ... इसे भी पारिवारिक व्यवसाय करना है ... इसिलिए वजन बढ़ा रहा है ताकी ब्रा फिट हो खातिर ...   एम्बर  तू ढंडे पे मत जा।   एपीयू   बोलो धंदा भगवान की...   शिव   जय !  ,आपु ने एम्बर को मोटू कहा।,apu 2 is back from school and tere baap ke nostrils are calling and hitting her nostrils and he must say that you don t study anymore waste of time join family business rohan how do you know apu father of every small town is like this family business amber very good very good apu dream business amber very bad very bad apu look at this motu it also has to do family business that s why i am gaining weight to fit my bra amber tu dhande pe mat ja apu speak dhanda of god shiva jai,apu calls amber motu
85,meera dickey kholna please ranveer tune promise kiya tha hamesha handbag main rakhegi meera par aaj toh tum ho na saath mein ranveer looks at her hurt in his eyes meera sorry i i didn t mean it that way just that bahot heavy hai yaar meera yes amma i m fine,meera is not fine,0,"मीरा   डिकी खोलना, प्लीज।   रणवीर   ट्यून प्रॉमिस किया था हमा हैंडबैग मैं राखी।   मीरा   पर आज तो तुम हो न साथ में। रणवीर उसकी तरफ देखता है। उसकी आंखों में चोट लगी है।   मीरा   सॉरी। मैं ... मेरा मतलब यह नहीं था। बस वो... बहुत भारी है यार...   मीरा   हां अम्मा... मैं ठीक हूं...  ",मीरा ठीक नहीं है,meera open the dicky please ranveer tune promised rakhi in our handbag meera but today you are not together ranveer looks at her his eye is hurt meera sorry i i didn t mean that it s just very heavy dude meera yes amma i m fine,mira is not well
