,premise,hypothesis,labels,translated_premise,translated_hypothesis
10,"RAHUL : Hum ye kya kar rahe hain ?? ## RIANA : It's pay back time . Japanese ne tumhein job nahin diya to humne unhein apna naukar bana liya . Dhang se kar yar . ## RAHUL : Main huns kyoun raha hun , mujhe khud maloom nahin hai . It's not funny , I'm unemployed !! ## RIANA : Kyoun , serious shakal banane se naukri wapas mil jayegi ? ## RAHUL : By the way , main soch raha tha ki , agar sirf do-teen din ki baat hai toh tum ghar pe reh sakti ho . ## RIANA : It's so true Pati parmeshwar hota hai . Such wise words ! ## RAHUL : Woh secretary sahi keh rahi thi .. You definitely need more sessions . ## ",RIANA ne Japanese ko apna naukar bana liya,entailment,"राहुल : हम ये क्या कर रहे हैं ?? ## रियाना : यह पे बैक टाइम है। जापानी ने तुमने नौकरी नहीं दीया तो हमनें अपना नौकरी बना लिया। धंग से कर यार। ## राहुल: मैं हूं क्यों रहा हूं, मुझे खुद मालूम नहीं है। मज़ाक नहीं है, मैं बेरोजगार हूँ !! ## रियाना : क्यों, गंभीर शकल बनाने से नौकरी वापस मिल जाएगी? ## राहुल : वैसे, मैं सोच रहा था की, अगर सिरफ दो-तीन दिनों की बात है तो तुम घर पर रह शक्ति हो। ## रियाना : यह सच है पति परमेश्वर होता है। ऐसे बुद्धिमान शब्द! ## राहुल : वो सचिव सही कह रही थी.. आपको निश्चित रूप से और सत्रों की आवश्यकता है। ##",रियाना ने जापानी को अपना नौकरी बना लिया
11,VIKRAM : Teri train kitne baje hai ? ## ROHAN : Do baje ... teri ? ## VIKRAM : Papa flight se aa rahe hai ... main to bhaagne vaala hoon ... ## ROHAN : Tu mere saath chalega na ? ## BENOY : Main bhi Bombay jaa raha hoon ... papa vahan shift ho rahe hain ... ## MUNINDER : Bach gaya Bangali ... Bombay ke government school Singur se achche hain ... vahaan Mamta Banerjee nahin hai ... Kulkarni hai ... ## ROHAN : Main jaa raha hoon ... time ho gaya . ## ROHAN : Picture poori dekh lete kam se kam ... ## MUNINDER : Bombay aa .. Tujhe Paris Hilton ki picture dikhaoonga ... ## ROHAN : Mujhe mail karna ... ## MUNINDER : Jamshedpur mein internet hai ? ## BENOY : Jamshedpur gaon nahin hai ... ## ROHAN : Sabne likh diya ? ## MUNINDER : Tere liye poem likhi hai ek ... padh lena ... ## ROHAN : I'll miss you guys ... ## ,Singur ke Government School Bombay se achhe hain,contradictory,विक्रम : तेरी ट्रेन कितने बजे है ? ## रोहन : दो बजे... तेरी ? ## विक्रम : पापा फ्लाइट से आ रहे हैं... मैं तो भागने वाला हूं... ## रोहन : तू मेरे साथ चलेगा ना ? ## BENOY: मैं भी बॉम्बे जा रहा हूं ... पापा वाहन शिफ्ट हो रहे हैं ... ## मुनिन्दर: बच गया बंगाली ... बॉम्बे के सरकारी स्कूल सिंगुर से अच्छे हैं ... वहां ममता बनर्जी नहीं है .. कुलकर्णी है ... ## रोहन: मैं जा रहा हूं ... टाइम हो गया। ## रोहन: पिक्चर पूरी देख ले काम से कम ... ## मुनिन्दर: बॉम्बे आ .. तुझे पेरिस हिल्टन की तस्वीर दिखूंगी ... ## रोहन: मुझे मेल करना ... ## मुनिन्दर: जमशेदपुर में इंटरनेट है? ## बेनॉय : जमशेदपुर गांव नहीं है... ## रोहन : सबने लिखा दिया ? ## मुनिन्दर : तेरे लिए कविता लिखी है एक ... पढ़ लेना ... ## रोहन : मैं आप लोगों को याद करूंगा ... ##,सिंगूर के सरकारी स्कूल बॉम्बे से अच्छे हैं
12,"RIANA : Tum geele kyoun ho ? ## RAHUL : Rain dance par gaya tha . Problem hai ?? --Aur tumhari seat belt kahan hai ? ## RIANA : Woh mujhe thodi uncomfortable lagti hai-- ## RAHUL : Jab khidki se udti hui bahar jaogi na toh woh bhi bahut comfortable nahin hoga . ## RIANA : Toh .. ...dinner mein kya khaya ..? ## RAHUL : --6 litre paani . ## RIANA : Bhook lagi hai toh , yahin pass mein mujhe ek jagah pata hai . ## ",RIANA geeli hai,contradictory,"रियाना : तुम गीले क्यों हो ? ## राहुल : रेन डांस पर गया था। समस्या है ?? --और तुम्हारी सीट बेल्ट कहां है? ## रियाना: वो मुझे थोड़ी असहज लगती है-- ## राहुल: जब खिडकी से उड़ी बाहर जाएगी न तो वो भी बहुत आरामदायक नहीं होगा। ## रियाना : तो... डिनर में क्या खाया..? ## राहुल:--6 लीटर पानी। ## रियाना : भूल लगी है तो, ये पास में मुझे एक जग पता है। ##",रियाना गीली है
13,"CAR SALESMAN : Teesre chauthe mein tight hogi . Hajaar kilometer pe khulegi . ## NEELU : Saath free kya kya dete ho aap ? ## CAR SALESMAN : Chandarpalji aaram se . Payment kardo , fir jo marji karna ! Saath mein madam iske .. ## NEELU : Ye chandarpalji kaun hain ? ## VIKRAM : Gaadi ghuma Titli . Rail phatak ki taraf chal fatafat . ## TITLI : Chupchupchup . ## NEELU : Mujhe jaana hai . ## PRADEEP : Chal rahe . Don't waary . ## VIKRAM : Saans chal rahi hai bete . ## NEELU : M u j h e ghar j a a n a hai !! K y a ho raha hai ? Papaaaa . PAPAJI ! ## VIKRAM : Pakad pakad . Phone pakad ! ## NEELU : Hallo ? Hallo prince ? ## NEELU : M u j h e n a h i n murder k a r n a . PAPAAAAJI MURDER KAR RE HAIN !! ## PRADEEP : M a r d a r thoda h a i beta . Gaadi garaje chodni hai bas . ## VIKRAM : Jinda hai , koina mara . Dekhle !! ## VIKRAM : Rok idhari . ## NEELU : Mainnahin mainnahin !! ## PRADEEP : CHUP HO JA ! CHUPPP ! ## VIKRAM : Ghar ko chal . ## VIKRAM : Susu kar diya poora . ## ",Car Salesman Chandrapalji ko pehle payment karne ko bol raha hai,entailment,"कार सेल्समैन : तीसरे चौथे में टाइट होगी। हजार किलोमीटर पे खुलेगी। ## नीलू : साथ फ्री क्या देते हो आप? ## कार सेल्समैन : चंद्रपालजी आराम से। पेमेंट करदो, फिर जो मर्जी करना! साथ में मैडम इस्के.. ## नीलू : ये चंद्रपालजी कौन हैं? ## विक्रम : गाड़ी घुमा तितली। रेल फाटक की तरफ चल फटाफट। ## तितली : चुपचुपचुप । ## नीलू : मुझे जाना है। ## प्रदीप : चल रहे हैं. सावधान मत होइए। ## विक्रम : सांस चल रही है बेटे। ## नीलू : एम यू जे एच ई घर जे ए एन ए है !! क्या हो रहा है ? पापा। पापाजी! ## विक्रम : पक्का पकाड़। फोन पक्का! ## नीलू : हेलो ? हेलो प्रिंस? ## नीलू : एम यू जे एच ई एन ए एच आई एन मर्डर के ए आर एन ए। पापाजी मर्डर कर रे हैं !! ## प्रदीप : एम ए आर डी ए आर थोड़ा एच ए आई बीटा। गाड़ी गराज छोडनी है बस। ## विक्रम: जिंदा है, कोई मारा। देखले !! ## विक्रम : रोक इधारी । ## नीलू : मैनाहिन मैं नहीं !! ## प्रदीप : चुप हो जा! चुपप्प! ## विक्रम : घर को चल। ## विक्रम: सुसु कर दिया पूरा। ##",कार सेल्समैन चंद्रपालजी को पहले पेमेंट करने को बोल रहा है
14,"CLERK : Yeh ? ## CLERK : Yeh toh guzar gaya . Haadsa ho gaya ek . ## DEVI : Iski ye file hai humaare paas . Kuch paise baaki hain , ek do books bhi hain uski jo lautani hain . Aap pata de sakte hain ? ## CLERK : Number hai ghar ka . Ye addresss hai unka Allahabad mein . Note karo . Par bolna mat kahin ki maine diya hai . ## ",CLERK ki kuch files DEVI ke paas hain,contradictory,"क्लर्क : हाँ? ## क्लर्क : ये तो गुजर गया। हडसा हो गया एक। ## देवी : इसकी ये फाइल है हमारे पास। कुछ पैसे बाकी हैं, एक दो किताबें भी हैं उसकी जो लौटनी हैं। आप पता दे सकते हैं? ## क्लर्क : नंबर है घर का। ये एड्रेस है उनका इलाहाबाद में। नोट करो। पर बोलना मत कहीं की मैंने दिया है। ##",क्लर्क की कुछ फाइलें देवी के पास हैं
15,"ISHAAN : Sun toh meri baat .. sorry yaar .. ## ISHAAN : Hud ho gayi yaar zid ki ? Kya karoon ? Aarti utaarun teri ?? Pairon pe girgiraoon ? ## OMI : Kya kar raha hai ? Pagal ho gaya kya ? ## ISHAAN : Apne paapon ka prayashchat kar raho hoon , bhugwun .. ## OMI : Wahan pe .. paapiyon ke liye woh line hai .. Wahan jake maafi maang . ## ISHAAN : Omi yaar .. kya hai ye ? main tera bhai nahi hoon ?? ab chhod na gussa .. ## OMI : Bas bahut ho gaya Ishaan . ## OMI : Tu apna chhor ke kisi ka nahi hai .. ## ",OMI gusse mein hai. ,entailment,"ईशान: सुन तो मेरी बात.. सॉरी यार.. ## ईशान: हुद हो गई यार जिद की? क्या करूं? आरती उतरन तेरी ?? जोड़ी पे गिरगिराओं ? ## ओएमआई : क्या कर रहा है? पागल हो गया क्या? ## ईशान : अपने पापों का प्रयाशछत कर रहो हूं, भुगवां.. ## ईशान : ओमी यार.. क्या है ये? मैं तेरा भाई नहीं हूं ?? अब छोड न गुस्सा .. ## ओएमआई: बस बहुत हो गया ईशान। ## ओएमआई : तू अपना छोर के किसी का नहीं है.. ##",ओएमआई गुसे में है।
16,"PIYUSH : Mere kapde ? ## MISHRA : Kya bhasad macha rakhi hai ? Baajaar bana diya yahaan ... ## MISHRA : Naam ? ## PIYUSH : Piyush Aggarwal ! Chhod do sir !!! ## MISHRA : Kya karte ho ? ## PIYUSH : Student hun sir .. ## MISHRA : Kahan se aaye ho ? ## PIYUSH : Aaa .. Allahabad se . Sir , please sir !! Kuch settlement kar lo sir .. Please !! ## MISHRA : Naam ? ## DEVI : Devi . ## MISHRA : Tumra life toh kandam ho gaya . ## MISHRA : Bahin-chod isey kya hua ? ## ",MISHRA ka life toh kandam ho gaya,contradictory,पीयूष : मेरे कपडे ? ## मिश्रा : क्या भसद मचा राखी है? बाजार बना दिया यहां... ## मिश्रा : नाम ? ## पीयूष : पीयूष अग्रवाल ! छोड दो सर !!! ## मिश्रा : क्या करते हो ? ## पीयूष : स्टूडेंट हुं सर.. ## मिश्रा : कहां से आए हो? ## पीयूष : आ.. इलाहाबाद से। सर प्लीज सर !! कुछ समझौता कर लो सर.. प्लीज !! ## मिश्रा : नाम ? ## देवी : देवी। ## मिश्रा : तुमरा लाइफ तो कंदम हो गया। ## मिश्रा : बहिन-छोड़ इसे क्या हुआ? ##,मिश्रा का जीवन तो कंदम हो गया
17,"MRS.KAPOOR : hello babyyyy ! Site visit kaisi thi ? ## RAHUL : Theek thi . ## RAHUL : Mom main aapko kuch bataana chahta hoon . ## MRS.KAPOOR : Ofcourse .. Sure ! ## MRS. KAPOOR : Pehle tum mujhe batao . ye ya ye ? Ye na ? This is so average .. I like to be unique . Don't you ? ## MR.KAPOOR : Oh look who's here ... Mr . Surprise himself . ## MR.KAPOOR : Tum wapas kab jaa rahe ho ? ## RAHUL : 5th ko . ## MR.KAPOOR : Good , Bulani aur Shah agle hafte tak shaayad deal lock kar dein . Main 4th ko unhein dinner pe bulane ki soch raha hun . ## MRS.KAPOOR : Unki biwiya bhi aayengi ? ## MR.KAPOOR : Tum aane waali ho na ? ## MRS. KAPOOR : Tum kya keh rahe the beta ? ## MR.KAPOOR : Surprise us ! ## RAHUL : Nahi .. Nothing important . ## ",dinner pe unki biwiya bhi aayengi.,contradictory,"श्रीमती कपूर : हेलो बेबीय्या ! साइट विज़िट कैसी थी ? ## राहुल : ठीक थी। ## राहुल : माँ मैं आपको कुछ बताना चाहता हूँ। ## श्रीमती कपूर : बिल्कुल .. ज़रूर ! ## श्रीमती। कपूर : पहले तुम मुझे बताओ. तुम तुम हो? ये ना? यह इतना औसत है .. मुझे अद्वितीय होना पसंद है। तुम नहीं? ## मिस्टर कपूर : ओह देखो यहाँ कौन है... मि. खुद को हैरान करो। ## मिस्टर कपूर : तुम वापस कब जा रहे हो? ## राहुल : 5वां को. ## मिस्टर कपूर : अच्छा, बुलानी और शाह अगले हफ्ते तक शायद डील लॉक कर दें। मैं चौथा को अनहिन डिनर पे बुलाने की सोच रहा हूं। ## श्रीमती कपूर : उनकी बिविया भी आएगी ? ## मिस्टर कपूर : तुम आने वाली हो ना? ## श्रीमती। कपूर : तुम क्या कह रहे थे बेटा? ## श्री कपूर : हमें चौंका दो ! ## राहुल : नहीं.. कुछ खास नहीं। ##",डिनर पे उनकी बिविया भी आएगी।
18,"RANVEER : Do bottle Bisleri . ## RANVEER : Tau , yeh Basantpura ka cut yehi hai ? ## RANVEER : Kitna , 3-4 ghante hoga yehan se ? Raasta kaisa hai ? ## HITCH HIKER : Kis taraf jaa rahe ho ? Hisaar ? ## MEERA : Sorry . ## RANVEER : You ok ? ## MEERA : Huh ... Yeah . ## ","According to RANVEER, Basantpura jaane mein 3-4 ghante lagenge.",entailment,"रणवीर : बिसलेरी बोतल करो। ## रणवीर : ताऊ, ये बसंतपुरा का कट ये है? ## रणवीर : कितना , 3-4 घंटे होगा ये से ? रास्ता कैसा है? ## सहयात्री : किस तरह जा रहे हैं ? हिसार? ## मीरा : सॉरी। ## रणवीर : तुम ठीक हो ? ## मीरा : हुह... हाँ। ##","रणवीर के मुताबिक, बसंतपुरा जाने में 3-4 घंटे लगेंगे।"
19,"EVERYONE : Hello beta ## RANI : Itna andhera kyu hai ## DAD : Arey beta wahi dilli ki bijli ka haal , 12 ghante se gayee hui hai , invertor pe laptop chal raha hai ## MOM : Achcha beta tu verma aunty ko milne kab jaa rahi hai ? ## RANI : Bas aaj jaa rahe hai , main aur vijaylaxmi ## MOM : Usko saath le jaa rahi hai ??? syaapa ## RANI : Mummy ! Kaafi sweet hai woh , lagti hai hippy type ... par hai nahin ... ## VIJAYLAXMI : Ready ? ## ",RANI ke wahan andhera hai,entailment,"हर कोई: हैलो बीटा ## रानी: इतना अंधेरा क्यों है ## पिताजी: अरे बेटा वही दिल्ली की बिजली का हाल, 12 घंटे से गई हुई है, इन्वर्टर पे लैपटॉप चल रहा है ## माँ: अच्छा बेटा तू वर्माने चाची को जा रही है? ## रानी: बस आज जा रहे हैं, मैं और विजयलक्ष्मी ## माँ: उसे साथ ले जा रही है ??? सियापा ## रानी : माँ ! काफ़ी स्वीट है वो, लगती है हिप्पी टाइप... पर है नहीं... ## विजयलक्ष्मी : तैयार हैं? ##",रानी के वहा अँधेरा है
20,"MRS.KAPOOR : To you too babyyyy !! Maine phone kiya tha do din pehle ## RAHUL : Sorry , Main Woh kaam pe tha .. ## MRS.KAPOOR : Oh I wish tum new years ke liye humare saath yahan hote .. ## RAHUL : Ahh .. Main bhi kuch aisa hi soch raha tha mom . ## MRS.KAPOOR : Really ? ## RAHUL : Aapka New years kaisa tha ? ## MRS.KAPOOR : Oh was fantastic . Shah's ne Mr . Bulani ke liye ek party throw ki thi , everybody was there .. ## RAHUL : Actually mom , mujhe kahin jaana ha .. I'll see you soon . ## MRS. KAPOOR : See me ? ## RAHUL : I mean , I'll .. I'll ... I'll call you soon . Bye ## RAHUL : marvawgi mujhe ! ## RIANA : sorryyyyy ! ## RAHUL : Kahan ja rahe hum ? ## RIANA : School ! ## RAHUL : School ? ## ",MRS. KAPOOR ko School jaana hai,contradictory,"श्रीमती कपूर : आपको भी बेबीय्या !! मैने फोन किया था दो दिन पहले ## राहुल : सॉरी , मैं वो काम पे था .. ऐसा ही सोच रहा था माँ। ## श्रीमती कपूर : वाक़ई ? ## राहुल : आपका नया साल कैसा था? ## श्रीमती कपूर : ओह बहुत अच्छा था। शाह ने श्री. बुलानी के लिए एक पार्टी फेंक की थी, हर कोई था.. ## राहुल: दरअसल माँ, मुझे कहीं जाना है.. मैं जल्द ही आपसे मिलूंगा। ## श्रीमती। कपूर : मुझे मिलते हैं ? ## राहुल : मेरा मतलब है, मैं.. अलविदा ## राहुल : मारवागी मुझे ! ## रियाना : सॉरी! ## राहुल : कहां जा रहे हैं हम ? ## रियाना : स्कूल ! ## राहुल : स्कूल ? ##",श्रीमती। कपूर को स्कूल जाना है
21,"MOTHER : Maine apne room .. umm Arjun ke room mein mattress laga diye hain , I hope tum sab fit ho jaoge . ## NEETU CHACHI : Haan haan .. aaraam se .. Thank you ! ## MOTHER : Good night . ## RAHUL : Bade dino baad aapko itna khush dekh raha hoon . ## MOTHER : Good night . ## ",RAHUL bade dino baad khush hua hai,contradictory,"मां: मैंने अपने रूम.. उम्म अर्जुन के रूम में गद्दे लगा दिए हैं, मुझे उम्मीद है तुम सब फिट हो जाओगे। ## नीतू चाची : हां हां.. आराम से.. धन्यवाद! ## मां : शुभ रात्रि। ## राहुल: बड़े दिनो बाद आपको इतना खुश देख रहा हूं। ## मां : शुभ रात्रि। ##",राहुल बड़े दिनो बाद खुश हुआ है
