,premise,hypothesis,labels,english_premise,english_hypothesis
10,"RAHUL : Hum ye kya kar rahe hain ?? ## RIANA : It's pay back time . Japanese ne tumhein job nahin diya to humne unhein apna naukar bana liya . Dhang se kar yar . ## RAHUL : Main huns kyoun raha hun , mujhe khud maloom nahin hai . It's not funny , I'm unemployed !! ## RIANA : Kyoun , serious shakal banane se naukri wapas mil jayegi ? ## RAHUL : By the way , main soch raha tha ki , agar sirf do-teen din ki baat hai toh tum ghar pe reh sakti ho . ## RIANA : It's so true Pati parmeshwar hota hai . Such wise words ! ## RAHUL : Woh secretary sahi keh rahi thi .. You definitely need more sessions . ## ",RIANA ne Japanese ko apna naukar bana liya,entailment,"Rahul: What are we doing?? ## Rianna: It's pay back time. The Japanese did not give you a job, so we made our job. Do it dude. ## Rahul: Why I am, I do not know myself. No kidding, I'm unemployed!! ## Riyana: Why, making serious looks will get the job back? ## Rahul: Well, I was thinking that, if it is only a matter of two-three days, then you are staying at home. ## Riana: It is true that husband is God. Such wise words! ## Rahul : She was right, Secretary.. You definitely need more sessions. ,",Riyana makes Japanese her job
11,VIKRAM : Teri train kitne baje hai ? ## ROHAN : Do baje ... teri ? ## VIKRAM : Papa flight se aa rahe hai ... main to bhaagne vaala hoon ... ## ROHAN : Tu mere saath chalega na ? ## BENOY : Main bhi Bombay jaa raha hoon ... papa vahan shift ho rahe hain ... ## MUNINDER : Bach gaya Bangali ... Bombay ke government school Singur se achche hain ... vahaan Mamta Banerjee nahin hai ... Kulkarni hai ... ## ROHAN : Main jaa raha hoon ... time ho gaya . ## ROHAN : Picture poori dekh lete kam se kam ... ## MUNINDER : Bombay aa .. Tujhe Paris Hilton ki picture dikhaoonga ... ## ROHAN : Mujhe mail karna ... ## MUNINDER : Jamshedpur mein internet hai ? ## BENOY : Jamshedpur gaon nahin hai ... ## ROHAN : Sabne likh diya ? ## MUNINDER : Tere liye poem likhi hai ek ... padh lena ... ## ROHAN : I'll miss you guys ... ## ,Singur ke Government School Bombay se achhe hain,contradictory,Vikram: What time is your train? ## Rohan: Two o'clock... yours? ## Vikram: Papa is coming by flight... I am about to run away... ## Rohan: Will you go with me? ## BENOY : I am also going to Bombay… Papa is shifting vehicles… ## Muninder: Bach Gaya Bengali… Government Schools in Bombay are better than Singur… There is no Mamta Banerjee.. Kulkarni is… ## Rohan: I am leaving… it is time. ## Rohan: Picture puri dekh le kaam se kam... ## Muninder: Bombay aa .. you will see Paris Hilton's picture... ## Rohan: mail me... ## Muninder: Jamshedpur has internet? ## Benoy : Jamshedpur is not a village... ## Rohan : Everyone wrote? ## Muninder: I have written a poem for you… read it… ## Rohan: I will miss you guys… ##,Government schools in Singur are better than Bombay
12,"RIANA : Tum geele kyoun ho ? ## RAHUL : Rain dance par gaya tha . Problem hai ?? --Aur tumhari seat belt kahan hai ? ## RIANA : Woh mujhe thodi uncomfortable lagti hai-- ## RAHUL : Jab khidki se udti hui bahar jaogi na toh woh bhi bahut comfortable nahin hoga . ## RIANA : Toh .. ...dinner mein kya khaya ..? ## RAHUL : --6 litre paani . ## RIANA : Bhook lagi hai toh , yahin pass mein mujhe ek jagah pata hai . ## ",RIANA geeli hai,contradictory,"Riana: Why are you wet? ## Rahul : Rain went on dance. there is a problem ?? --And where's your seat belt? ## Riana: She seems a little uncomfortable to me-- ## Rahul: When Uri goes out of the window, neither will it be very comfortable either. ## Riana: So... what did you eat for dinner..? ## Rahul :--6 liters of water. ## Riyana: If I have made a mistake, I know a world nearby. ,",ryanna is wet
13,"CAR SALESMAN : Teesre chauthe mein tight hogi . Hajaar kilometer pe khulegi . ## NEELU : Saath free kya kya dete ho aap ? ## CAR SALESMAN : Chandarpalji aaram se . Payment kardo , fir jo marji karna ! Saath mein madam iske .. ## NEELU : Ye chandarpalji kaun hain ? ## VIKRAM : Gaadi ghuma Titli . Rail phatak ki taraf chal fatafat . ## TITLI : Chupchupchup . ## NEELU : Mujhe jaana hai . ## PRADEEP : Chal rahe . Don't waary . ## VIKRAM : Saans chal rahi hai bete . ## NEELU : M u j h e ghar j a a n a hai !! K y a ho raha hai ? Papaaaa . PAPAJI ! ## VIKRAM : Pakad pakad . Phone pakad ! ## NEELU : Hallo ? Hallo prince ? ## NEELU : M u j h e n a h i n murder k a r n a . PAPAAAAJI MURDER KAR RE HAIN !! ## PRADEEP : M a r d a r thoda h a i beta . Gaadi garaje chodni hai bas . ## VIKRAM : Jinda hai , koina mara . Dekhle !! ## VIKRAM : Rok idhari . ## NEELU : Mainnahin mainnahin !! ## PRADEEP : CHUP HO JA ! CHUPPP ! ## VIKRAM : Ghar ko chal . ## VIKRAM : Susu kar diya poora . ## ",Car Salesman Chandrapalji ko pehle payment karne ko bol raha hai,entailment,"Car salesman: The third will be tight in the fourth. Will open at thousand kilometers. ## Neelu: What do you give free with? ## Car Salesman : Chandrapalji Relax. Pay, then do whatever you want! Together with Madam Iske.. ## Neelu: Who is this Chandrapalji? ## Vikram : Titli twisting the car. Quickly walk towards the railway gate. ## Butterfly : Quietly. ## Neelu : I have to go. ## Pradeep : We are going. Don't be careful. ## Vikram: Breathing is going on, son. ## Neelu : M U J H E Ghar J A N A Hai !! What is happening ? dad. Papa! ## Vikram : Pakka Pakkad. Phone sure! ## Neelu : Hello? hello prince? ## Neelu : M U J H E N A H I N Murder K A R N A. Papaji is murdered!! ## Pradeep: M A R D A R little H A I Beta. The car has to leave the garage. ## Vikram: Zinda Hai, Someone Mara. Look!! ## Vikram: Rok Idhari. ## Neelu : I am not Manahin !! ## Pradeep: Shut up! Quiet! ## Vikram : Let's go home. ## Vikram: Susu is done. ,",The car salesman is asking Chandrapalji to pay first
14,"CLERK : Yeh ? ## CLERK : Yeh toh guzar gaya . Haadsa ho gaya ek . ## DEVI : Iski ye file hai humaare paas . Kuch paise baaki hain , ek do books bhi hain uski jo lautani hain . Aap pata de sakte hain ? ## CLERK : Number hai ghar ka . Ye addresss hai unka Allahabad mein . Note karo . Par bolna mat kahin ki maine diya hai . ## ",CLERK ki kuch files DEVI ke paas hain,contradictory,"Clerk: Yes? ## Clerk: It has passed. One got angry. ## Devi: We have this file for it. There is some money left, there are also a couple of books which have to be returned. Can you give the address? ## Clerk: The number is of the house. This is his address in Allahabad. Take note. But don't say anywhere that I have given. ,",Devi has some files of the clerk
15,"ISHAAN : Sun toh meri baat .. sorry yaar .. ## ISHAAN : Hud ho gayi yaar zid ki ? Kya karoon ? Aarti utaarun teri ?? Pairon pe girgiraoon ? ## OMI : Kya kar raha hai ? Pagal ho gaya kya ? ## ISHAAN : Apne paapon ka prayashchat kar raho hoon , bhugwun .. ## OMI : Wahan pe .. paapiyon ke liye woh line hai .. Wahan jake maafi maang . ## ISHAAN : Omi yaar .. kya hai ye ? main tera bhai nahi hoon ?? ab chhod na gussa .. ## OMI : Bas bahut ho gaya Ishaan . ## OMI : Tu apna chhor ke kisi ka nahi hai .. ## ",OMI gusse mein hai. ,entailment,"Ishaan: Hear my words.. Sorry man.. ## Ishaan: Hud ho gayi yaar stubbornness? what to do Aarti Utran Teri?? Girgiron on the pair? ## OMI : What are you doing? Have you gone crazy? ## Ishaan: I am atonement for your sins, Bhugwan.. ## Ishaan: Omi man.. what is this? I'm not your brother?? Don't get angry now.. ## OMI: Enough is enough, Ishaan. ## OMI: You are not your end.. ##",OMI is furious.
16,"PIYUSH : Mere kapde ? ## MISHRA : Kya bhasad macha rakhi hai ? Baajaar bana diya yahaan ... ## MISHRA : Naam ? ## PIYUSH : Piyush Aggarwal ! Chhod do sir !!! ## MISHRA : Kya karte ho ? ## PIYUSH : Student hun sir .. ## MISHRA : Kahan se aaye ho ? ## PIYUSH : Aaa .. Allahabad se . Sir , please sir !! Kuch settlement kar lo sir .. Please !! ## MISHRA : Naam ? ## DEVI : Devi . ## MISHRA : Tumra life toh kandam ho gaya . ## MISHRA : Bahin-chod isey kya hua ? ## ",MISHRA ka life toh kandam ho gaya,contradictory,"Piyush: My clothes? ## Mishra: What is the mood of Rakhi? The market has been made here... ## Mishra : Name ? ## Piyush: Piyush Agarwal! Leave it sir!!! ## Mishra: What do you do? ## Piyush : Student I am Sir.. ## Mishra : Where have you come from? ## Piyush : A.. from Allahabad. Sir please sir!! Make some compromises sir.. please !! ## Mishra : Name ? ## Devi : Goddess. ## Mishra: Your life has become a curse. ## Mishra: What happened to her, leaving her sister? ,",Mishra's life has become a shambles
17,"MRS.KAPOOR : hello babyyyy ! Site visit kaisi thi ? ## RAHUL : Theek thi . ## RAHUL : Mom main aapko kuch bataana chahta hoon . ## MRS.KAPOOR : Ofcourse .. Sure ! ## MRS. KAPOOR : Pehle tum mujhe batao . ye ya ye ? Ye na ? This is so average .. I like to be unique . Don't you ? ## MR.KAPOOR : Oh look who's here ... Mr . Surprise himself . ## MR.KAPOOR : Tum wapas kab jaa rahe ho ? ## RAHUL : 5th ko . ## MR.KAPOOR : Good , Bulani aur Shah agle hafte tak shaayad deal lock kar dein . Main 4th ko unhein dinner pe bulane ki soch raha hun . ## MRS.KAPOOR : Unki biwiya bhi aayengi ? ## MR.KAPOOR : Tum aane waali ho na ? ## MRS. KAPOOR : Tum kya keh rahe the beta ? ## MR.KAPOOR : Surprise us ! ## RAHUL : Nahi .. Nothing important . ## ",dinner pe unki biwiya bhi aayengi.,contradictory,"Mrs. Kapoor: Hello babyyya! How was the site visit? ## Rahul: It was fine. ## Rahul : Mother, I want to tell you something. ## Mrs. Kapoor : Absolutely.. Sure! ## mrs. Kapoor: First you tell me. you are you Isn't this It's so average.. I like to be unique. not you? ## Mr. Kapoor : Oh look who is here... Mr. Surprise yourself ## Mr. Kapoor: When are you going back? ## Rahul : On the 5th. ## Mr. Kapoor: Well, Boolani and Shah may lock the deal till next week. I am planning to invite Chauth to an unofficial dinner. ## Mrs Kapoor : His wife will also come? ## Mr. Kapoor: You are going to come, aren't you? ## mrs. Kapoor: What were you saying son? ## Mr. Kapoor : Shock us! ## Rahul: No.. nothing special. ,",His bivia will also come at dinner.
18,"RANVEER : Do bottle Bisleri . ## RANVEER : Tau , yeh Basantpura ka cut yehi hai ? ## RANVEER : Kitna , 3-4 ghante hoga yehan se ? Raasta kaisa hai ? ## HITCH HIKER : Kis taraf jaa rahe ho ? Hisaar ? ## MEERA : Sorry . ## RANVEER : You ok ? ## MEERA : Huh ... Yeah . ## ","According to RANVEER, Basantpura jaane mein 3-4 ghante lagenge.",entailment,"Ranveer: Bottle Bisleri. ## Ranveer: Tau, is this the cut of Basantpura? ## Ranveer: How much, will it be 3-4 hours from this? how is the way? ## Hitch-traveller: How are you going? Hisar? ## Meera: Sorry. ## Ranveer: Are you alright? ## Meera: Huh... yes. ,","According to Ranveer, it will take 3-4 hours to reach Basantpura."
19,"EVERYONE : Hello beta ## RANI : Itna andhera kyu hai ## DAD : Arey beta wahi dilli ki bijli ka haal , 12 ghante se gayee hui hai , invertor pe laptop chal raha hai ## MOM : Achcha beta tu verma aunty ko milne kab jaa rahi hai ? ## RANI : Bas aaj jaa rahe hai , main aur vijaylaxmi ## MOM : Usko saath le jaa rahi hai ??? syaapa ## RANI : Mummy ! Kaafi sweet hai woh , lagti hai hippy type ... par hai nahin ... ## VIJAYLAXMI : Ready ? ## ",RANI ke wahan andhera hai,entailment,"Everyone: Hello Beta ## Rani: Why is it so dark ## Dad: Hey son the same electricity situation in Delhi is gone for 12 hours, laptop is running on inverter ## Mother: good son you go to vermane aunty has been ## Rani: Just leaving today, me and Vijayalakshmi ## Mother: taking her along??? Siyapa ## Queen : Mother! She is quite sweet, looks like a hippie type... but she is not... ## Vijayalakshmi: Ready? ,",it's dark over the queen
20,"MRS.KAPOOR : To you too babyyyy !! Maine phone kiya tha do din pehle ## RAHUL : Sorry , Main Woh kaam pe tha .. ## MRS.KAPOOR : Oh I wish tum new years ke liye humare saath yahan hote .. ## RAHUL : Ahh .. Main bhi kuch aisa hi soch raha tha mom . ## MRS.KAPOOR : Really ? ## RAHUL : Aapka New years kaisa tha ? ## MRS.KAPOOR : Oh was fantastic . Shah's ne Mr . Bulani ke liye ek party throw ki thi , everybody was there .. ## RAHUL : Actually mom , mujhe kahin jaana ha .. I'll see you soon . ## MRS. KAPOOR : See me ? ## RAHUL : I mean , I'll .. I'll ... I'll call you soon . Bye ## RAHUL : marvawgi mujhe ! ## RIANA : sorryyyyy ! ## RAHUL : Kahan ja rahe hum ? ## RIANA : School ! ## RAHUL : School ? ## ",MRS. KAPOOR ko School jaana hai,contradictory,"Mrs. Kapoor: You too babyyya!! I had called two days back ##Rahul : Sorry, I was at that work.. was thinking the same way mom. ## Mrs Kapoor : Really? ## Rahul: How was your new year? ## Mrs Kapoor : Oh that was great. Shah Mr. Had thrown a party for Bulani, everyone was there.. ## Rahul: Actually mother, I have to go somewhere.. I will meet you soon. ## mrs. Kapoor: See you? ## Rahul: I mean, me.. Goodbye ## Rahul: Marwagi me! ## Rianna: Sorry! ## Rahul: Where are we going? ## Rianna: School! ## Rahul : School? ,",mrs. Kapoor has to go to school
21,"MOTHER : Maine apne room .. umm Arjun ke room mein mattress laga diye hain , I hope tum sab fit ho jaoge . ## NEETU CHACHI : Haan haan .. aaraam se .. Thank you ! ## MOTHER : Good night . ## RAHUL : Bade dino baad aapko itna khush dekh raha hoon . ## MOTHER : Good night . ## ",RAHUL bade dino baad khush hua hai,contradictory,"Mother: I have put mattresses in my room.. Umm Arjun's room, I hope you all will be fit. ## Neetu Aunty : Yes Yes.. Relax.. Thanks! ## Mother: Good night. ## Rahul: Seeing you so happy after a long time. ## Mother: Good night. ,",Rahul is happy after a long time
22,ISHAAN : All the best boys .. Now focus . ## GOVI : Sorry .. late ho gaya .. Dukaan band karke aa raha hoon . ## ISHAAN : Omi ? ## GOVIND : Subah saat baje se nikla hua hai .. Full force mein campaigning chal rahi hai ## ISHAAN : Practice kara kara ke thak gaya .. abhi tak off ke ball ko leg pe maare ja raha hai .. shi !!! ## GOVIND : Relax kar Ish .. Usey apna natural game khelne de . hamesha copybook nahi khel skate .. tu bhi to innovate karta tha na . Let him enjoy . ## GOVIND : Its a good start .. dont worry . ## ISHAAN : Arre kaaaiiipo !!! ## TEAM KIDS : Ali Baba aur chaalis chakke .. ## ,ISHAAN ne bahut practice karai. ,entailment,Ishaan: All the best boys... now focus. ## GOVI : Sorry.. late.. I am coming after closing the shop. ## Ishaan: Omi? ## Govind: Suba is out since 7 o'clock.. Election campaign is going on in full force ## Ishaan: Got tired of practicing .. still the ball is being hit on the leg .. Shi !!! ## Govind: Relax by God.. let him play his natural game. Always copybook not playing skate .. tu bhi karta tha na ko to innovate. Let him enjoy ## Govind: It's a good start.. Don't worry. ## Ishaan: Hey Kaipo!!! ## Team Kids : Ali Baba and Forty Wheels.. ##,Ishaan has practiced a lot.
23,MRS. VERMA : Terey liye ## RANI : Thank you aunty ## MRS. VERMA : tu waisey paris mein kya kar rahi hai ? Friend se milney aayi ? ## GRANDMUM : Ab jaisey bhi dil behel jaaye bechari ka ## MR. VERMA : Tch ## RANI : Main yahan honeymoon ke liye hoon ## MR. VERMA : Tch ## ,MRS. VERMA ne RANI ko gift diya,entailment,"mrs. Verma : For you ## Rani : Thank you Aunty ## Mrs. Verma: What are you doing in Paris like that? Came to meet a friend? ## Grandum: Now as soon as the heart is filled, ## of the poor man is Mr. Verma : Teach ## Rani : I am here for honeymoon ## Mr. Verma : TCH ##",mrs. Verma gave a gift to Rani
24,MOTHER : Biskit khatam ho gaye hain- le aana aur .. ## MOTHER : Neend aayi theek se ..? ## MOTHER : Naashte mein kya loge ? ## MOTHER : Arre kya ho gaya ? Tabiyat theek hai na ? ## MOTHER : Toh phir bol kyun nahi rahe ho kuchh ? ## MOTHER : Pagal ho gaye ho kya ? ## MOTHER : Khud bhi pagal ho gaye ho- humein bhi pagal kar doge .. ## MOTHER : Dekh apne Bauji ko- Ab kya naya bhoot sawar ho gaya hai unko .. ## RITA : Kya hua ? ## MOTHER : Arre mujhe kya pata kya hua- dekho- Roz ka kya natak hai yahan .. ## ,Mom khud bhi pagal ho gayi hai aur dusron ko bhi pagal kar degi,contradictory,"Mother: Biscuit is over - bring it and.. ## Mother: I slept properly..? ## Mother: What will you have for breakfast? ## Mother: Hey what happened? Are you well? ## Mother: Then why are you not saying anything? ## Mother: Have you gone mad? ## Mother: I myself have gone crazy, we will also make you crazy.. ## Mother: Look at your boss - now he has got a new ghost.. ## Rita: What happened? ## Mother: Hey I know what happened- Look- what's the drama of everyday here.. ##",Mother herself has gone mad and will drive her enemies crazy
25,"RAHUL : Dadu yeh maal kahaan se laye hain ? Fuuuuck man ! ## ARJUN : Saale tu jitna perfect banta hain utna hai nahin . Tu Mom dad ka favorite bana kaise ? ## RAHUL : Mom dad hum dono ko equally pyaar karte-- ## ARJUN : --Kaminey , seedhe mooh toh bol de . ## RAHUL : You know what ... main teri jagah ek second mein le loon ... ## ARJUN : Yeah right ... ## RAHUL : Arrey jitne taane maar lein , atleast woh tujhe jaante toh hain . Mujhe toh woh jaante bhi nahin . ## RAHUL : Tujhe ek baat bataun . jo iss ghar mein maine kisi ko nahin batayi . ## ",RAHUL ARJUN ko aisi baat batane jaa raha hai jo usne kisi ko nahin batayi.,entailment,"Rahul: From where did Dadu bring these goods? Fuouk dude! ## Arjun: Saale tu jeeta perfect bante hai, not that much. How did you become mom dad's favorite? ## Rahul : Mummy papa love us both equally-- ## Rahul : You know what... I can take your world in each other... ## Arjun: Yes ok... # #Rahul: Hey you die, at least they know you. They don't even go to me. ## Rahul: Let me tell you one thing. Which I have not told anyone in this house. ,",Rahul is going to tell Arjun something that he does not tell anyone.
26,"SI BENIWAL : Area mein poochh-taachh kar rahe hain . Kuchh habitual offenders ki questioning bhi chalu hai . Madam , aapne unka registration number note kiya hota toh matter kaafi simple hota . ## SI BENIWAL : Nahin ? ## SI BENIWAL : Yeh shaher badhta bachcha hai , Sir . Kood to lagaayega hee . Aapko inko aise raat mein akele travel nahi karne dena chahiye . ## SI BENIWAL : Aapki DIG saab se achchi pehchaan hai . Aap inke liye ek gun licence kyon nahi apply kar lete ? ## MEERA : Gun ? ## ",Kuchh habitual offenders ki questioning chalu hai,entailment,"C Beniwal: Inquiring in the area. The interrogation of some habitual offender is also on. Madam, if you had noted down their registration number, it would have been quite simple. ## SI Beniwal: No? ## SI Beniwal: This city is a changing child, sir. Will put the code. You should not let them travel alone at night like this. ## SI Beniwal: You have a better identity than DIG Saab. Why don't you apply for a gun license for them? ## Meera : Gun? ,",Inquiry of some habitual offender is on
